"Id","Name","Current Stock","Product Group","Dims","Image Filename"
"3452","Amina 15"" Pendant Lantern","12","lighting","12""Dia x 15""H + 8' Cord","AMINA_15in.png"
"3451","Ardelia 24"" Pendant Lantern","6","lighting","12""Dia x 24""H + 8' Cord","ARDELIA_24in.png"
"3026","Casey Leather + Brass Chandelier","10","lighting","33""Dia x 31""H","CASEY_Chandelier_0.png"
"2487","Dezmelda 24"" Smoke Crystal Chandelier","5","lighting","24""Dia x 18""H","DEZMELDA_Smoke_Crystal_Chandelier_0.png"
"4165","Emile Vintage Microphone Pendant Light","24","lighting","7.5""H Microphone x 15' Cord with Plug","EMILE_Microphone.png"
"3877","Erizo Leather Chandelier","1","lighting","63""W x 28""D x 71""H - Not including hanging mechanism","ERIZO_Leather_Chandelier_XL.png"
"2485","Eustace 36"" White Cast Antler Chandelier","8","lighting","36""Dia x 20""H  12' Chain","EUSTACE_White_Antler_Chandelier_0.png"
"2472","Gideon Large Bamboo Mesh Pendant Light","13","lighting","12""W x 28""H","GIDEON_2_Bamboo_Pendant_0.png"
"2464","Gideon Medium Bamboo Mesh Pendant Light","12","lighting","11""W x 24""H","Medium.png"
"2864","Gideon Small Bamboo Mesh Pendant","15","lighting","8""Dia x 16""H","small_g.png"
"2808","Gideon XL Bamboo Mesh Pendant Light","8","lighting","19""W x 39""H","LORG.png"
"4077","Mallow Pendant Light","6","lighting","9""Dia x 12""H","MALLOW_Pendant.png"
"3227","Namiah 24"" Smoke Crystal Black Chandelier","3","lighting","24""Dia x 18""H","DEZMELDA_Smoke_Crystal_Chandelier_0.png"
"4050","Noya Sand Pendant Light - Large","5","lighting","13.5""Dia 20""H","NOYA_Large_Pendant.png"
"4049","Noya Sand Pendant Light - Mid","6","lighting","10""Dia x 18""H","NOYA_Mid_Pendant.png"
"4048","Noya Sand Pendant Light - Narrow","2","lighting","7""Dia x 19.5""H","NOYA_Narrow_Pendant.png"
"833","Arwyn Sheepskin Fur","16","furs-and-pelts","Various","ARWYN_Sheepskin.png"
"4149","Elin Ivory Double Sheepskin","14","furs-and-pelts","60""L x 24""W","ELIN_Double_Sheepskin.png"
"3821","Isaac Beige Sheepskin Fur","16","furs-and-pelts","16""W x 28""D","KAINO_Beige_Sheepskin.png"
"1234","Jael Goat Hide Pelts","18","furs-and-pelts","Approx 18""W x 25""D","JAEL_Natural_Goat_Pelt.PNG"
"4146","Katrin Icelandic Sheepskin Fur","12","furs-and-pelts","Approx 24""W x 36""","sheepskin_rug_chair.png"
"834","Ovis Black Sheepskin Fur","8","furs-and-pelts","Various","OVIS_Black_Sheepskin.png"
"4041","Arius Chandelier Stand","3","large-decor","48""W x 120""H - Base 24""W x 24""D","ARIUS_Stand.png"
"1616","Aya 16th Century Wooden Doors","1","large-decor","67""W x 104""H","AYA_Door_1.png"
"3925","Bellow 3'H White Corrugated Partition","2","large-decor","15'W x 13.3""D x 3'H","BELLOW_3__Partition_1.png"
"2015","Bellow 8'H White Corrugated Wall","4","large-decor","188""W x 13â€ D x 96""H","BELLOW_Wall_0.png"
"3540","Blaze 48"" Rectangle Weathered Steel Firepit","2","large-decor","48""W x 20""D x 26.75""H","BLAZE_48_Firepit.png"
"2535","Brantley Dark Orange Metal Wood Burning Chiminea","4","large-decor","22""W x 22""D x 63""H","BRANTLEY_Chiminea_0.png"
"3511","Chatta Umbrella - Natural Stripe/White Pole","3","large-decor","6.5""Dia x 7'H","CHATTA_Natural_Stripe.png"
"3510","Chatta Umbrella - Pink Stripe/White Pole","3","large-decor","6.5""Dia x 7'H","CHATTA_Pink_Stripe.png"
"3513","Chatta Umbrella -Wide Pink Stripe/Wood Pole","2","large-decor","60""Dia x 78""H","CHATTA_Wide_Pink.png"
"3512","Chatta Umbrella - Yellow Pattern/Wood Pole","3","large-decor","60""Dia x 78""H","CHATTA_Yellow_Pattern.png"
"4040","Chendra Double Scallop Umbrella","6","large-decor","108""Dia x 99""H","CHENDRA_Double_Scallop_Umbrella.png"
"3110","Daxton Light Wood Wall","1","large-decor","20'W x 24""D x 96""H","DAXTON_Wall.png"
"2155","Delilah Gold Metal Screen","10","large-decor","37""W x 26""D x 120""H","DELILAH_Screen_0.png"
"3913","Elysanda Ceremony Path + Platform","1","large-decor","35'Long Total","ELYSANDA_Path___Platform_0_Render.png"
"3499","Ember 38"" Square Weathered Steel Firepit","2","large-decor","38"" W x 38""D x 26.5""H","EMBER_38_Firepit.png"
"2876","Hanoi Cane Wall","3","large-decor","111""W x 18""D x 96""H","HANOI_Wall.png"
"3524","Hudson Rock Wall","2","large-decor","16'W x 2""d x 9'H","HUDSON_Render.png"
"3611","Hudson Rock Wall with Shelves","2","large-decor","5""Wx5""D Shelf - 18.5"" Between Shelves","HUDSON_Render.png"
"3542","Jacen Indoor Firepit","2","large-decor","25.5""Dia x 43.5""H","JACEN_Indoor_Firepit.png"
"712","Keaton Antique Floor Mirror","3","large-decor","42""W x 2""D x 82""H","KEATON_Mirror_0.png"
"3905","Layne Gallery Column _ I DO NOT HAVE IMAGE","4","large-decor","3'W x 2.5'D x 8'H",""
"802","Marlow Rope Wall","2","large-decor","96""W x 24""D x 108""H","MARLOW_0.png"
"4072","Merritt Post and Beam Structure","1","large-decor","Exterior 96""W x 10""D x 96""H","MERRITT.png"
"1703","Pema Ancient Carved Wood Wall","1","large-decor","82""W x 3""D x 71""H","PEMA_1.png"
"2597","Solomea Garden Fountain","1","large-decor","39""Dia x 73.5""H","SOLOMEA_Fountain.png"
"3878","Sutton 36"" Black Firepit + Tank Cover","4","large-decor","36""DIa x 15""H","SUTTON_Firepit_and_Tank_Cover.png"
"2154","Warren Metal Canopy","4","large-decor","14'W x14'D x 12'H","Canopy.png"
"3033","Washington Wall 24'W x 8'H","1","large-decor","24'W x 24""D x 8'H","Washington_Wall_No_Leather_Insert.png"
"4046","Annu 40"" Walnut Hoop Chandelier","10","lighting","40""Dia x 5""H + Cord","ANNU_40in_Hoop.png"
"4047","Botond 87"" Walnut Rod Chandelier","9","lighting","87""W x 3""Dia","BOTOND_87in_Wlnut_Rod.png"
"3491","Chrishell Globe Lamp","2","lighting","13""W x 10""D x 22""H","CHRISHELL_Lamp.png"
"4045","Concreta Wall Sconce","2","lighting","5""W x 4.75""D x 17.5""H","CONCRETA_Wall_Sconce_0.png"
"3998","Cressida Maroon Marble Table Lamp","2","lighting","3.75""Dia x 18""H","CRESSIDA_Table_Lamp.png"
"4001","Culetta Green Marble Cabaret Lamp","12","lighting","4.5""Dia x 10""H","CULETTA_Marble_Cab_Lamp.png"
"1625","Darnell Color-Mixing LED  Uplight","16","lighting","4""W x 4""D x 5""H","UPLIGHT_0.png"
"2960","Evy Ivory Stucco Table Lamp","1","lighting","16""Dia x 23""H","EVY_Lamp.png"
"819","Farrah Triple Gold Globe Lamp","1","lighting","8""Dia x 22.5""H","Farrah_Triple_Gold_Globe_Lamp_LIT.png"
"2768","Frost White Antler Table Lamp","4","lighting","18""Dia x 32""H","FROST_Antler_Lamp.png"
"2964","Gemma Sage Glass Table Lamp","4","lighting","18""Dia X 32""H","GEMMA_Lamp.png"
"3979","Georgia Brass Sconce","4","lighting","8""W x 9.5:""D x 10.5""H, Backplate 5""Dia, Shade 8""W x 6.5""H","GEORGIA_Sconce_1.png"
"3535","Giesel Green Fringe Lamp","3","lighting","8""Dia Base x 23"" H with Shade","GIESEL_Lamp.png"
"3321","Irene Brass Cabaret Lamp","14","lighting","4.7""Dia x 12""H","IRENE_cb_lamp.png"
"3574","Jana Matte Bronze Cabaret Lamp","25","lighting","4""Dia x 14""H","JANA_Matte_Bronze_Cab_Lamp.png"
"2754","Juno Clear Glass Lamp","3","lighting","9""W x 5""D x 19""H","JUNO_Clear_Glass_Lamp.png"
"2958","Marvin White Stucco Table Lamp","2","lighting","16""Dia x 23""H","MARVIN_Lamp.png"
"880","Nixon Globe Lamp","2","lighting","3""Dia x 12""H","NIXON_Table_Lamp_0.png"
"2962","Oni Grey Ceramic Table Lamp","2","lighting","15""Dia X 27""H","ONI_Table_Lamp_0.png"
"2766","Regina Brass Table Lamp","4","lighting","6"" Base x 21.5""W x 25""H","REGINA_Table_Lamp.png"
"4037","Rodrick Brass Cabaret Lamp","8","lighting","6""Dia x 12""H","RODRICK_Cab_Lamp.png"
"3147","Romina Brass Floor Lamp","1","lighting","6""Dia Base x 30""W x 69.5""H","ROMINA_Floor_Lamp.png"
"578","Sinia Telescoping Floor Lamp","2","lighting","24"" Dia x 56""H","SINIA_Floor_Lamp_0.png"
"3487","Tigran Linear Floor Lamp","2","lighting","12""Dia x 58""H","TIGRAN_Floor_Lamp_0.png"
"3923","Tomina Marble Base Table Lamp","5","lighting","16""Dia x 26.5""H","TOMINA_Lamp_0.png"
"3532","Waverly Alabaster Wall Sconce","4","lighting","5.1""Dia x 13""H","WAVERLY_Wall_Sconce.png"
"2769","Winona Silver Trophy Table Lamp","4","lighting","6""Dia Base x 32""H","WINONA_Lamp_1.png"
"1630","Atlas 8x10 Turkish Rug","1","rugs","8'W x 10'D","ATLAS_Rug_8x10_1.png"
"2793","Briar 9x12 Natural Braided Jute Rug","6","rugs","9'W x 12'D","BRIAR_Braided.png"
"394","Byron 7x7 Black Hide Rug","4","rugs","7'W x 7'D","BYRON__Black_Hide_0.png"
"1825","Dayna 8x10 Grey Pattern Rug","2","rugs","8'W x10'D","DAYNA_Rug_8x10_1.png"
"395","Eniko 6x6 Brindle Hide Rug","7","rugs","6'W x 6'D","ENIKO_6x6_Brindle_Rug_0.png"
"707","Evren 8x10Kilim Rug","2","rugs","8'W x 10'D","EVREN_Rug_0.png"
"2770","Felina 5x8 Grey + Natural Tassel Jute Rug","2","rugs","5'W x 8""D","FELINA_5x8_Grey___Natural_Tassel_Jute_Rug.png"
"403","Feride 5x8 Kilim Rug","1","rugs","5'W x 8'D","KILIM_5x8_Rug_0.png"
"2149","Glaucus 6x8 Grey Faux Hide Rug","3","rugs","6'W x 8'D","GLAUCUS_6x8_Faux_Hide_0.png"
"396","Gopala 7x7 Natural Tan Hide Rug","2","rugs","7'W x 7'D","GOPALA_Natural_Rug_0.png"
"1933","Harlow 8x10 Grey Area Rug","2","rugs","8'W x 10'D","HARLOW_Rug_0.png"
"1932","Hathor Light Colored Hide Rug","8","rugs","6'W x 6'D","HATHOR_Light_Natural_Hide.png"
"2809","Keitha 9x12 Chunky Jute Tassels Rug","4","rugs","9'W x12'D","KEITHA_Chunky_Tassel.png"
"4053","Larkin 8x10 Rust + Grey Rug","2","rugs","8'x10'","LARKIN_8x10.png"
"3364","Leyan 8x10 Camel + Sage Rug","2","rugs","8'x10'","LEYAN_8x10.png"
"4162","Melas Leopard Printed Hide Rug","2","rugs","5' x 7'","MELAS_Leopard_Hide.png"
"397","Ninsun 7x7 Silver Hide Rug","3","rugs","7'W x 7'D","NINSUN_Silver_Rug_0.png"
"1637","Obsidian 8x10 Black Rug","2","rugs","8'W x10'D","OBSIDIAN_8x10_Rug_0.png"
"1817","Sheridan 8x10 Olive Chenille Rug","2","rugs","8'W x 10'D","SHERIDAN_8x10_Rug_0.png"
"1691","Shiloh 8x10 Grey & Ivory Rug","2","rugs","8'W x 10'D","SHILOH_Rug_0.png"
"907","Shima 8x10 Faded Black Rug","2","rugs","8'W x 10'D","SHIMA_8x10_Rug_0.png"
"415","Shiraz 8x10 Ivory & Grey Woven Wool Rug","2","rugs","8'W x 10'D","SHIRAZ_8x10_Rug_0.png"
"404","Taos 6x8 Pattern Rug","3","rugs","6'W x 8'D","TAOS_6x8_Rug_0.png"
"3853","Trinidad 8x10 Cream Jute Criss Cross Rug","2","rugs","8'x10'","TRINIDAD_8x10.png"
"4006","Valdiva 8x10 Olive Rug","2","rugs","8' x 10'","VALDIVA_8x10_0.png"
"1615","Webb 5x8 Abstract Rug","2","rugs","5'W x 8'D","WEBB_5x8_Rug_0.png"
"2970","Adelaide Antique Arm Chair","2","seating","24""W x 19""D x 38""H","ADELAIDE.png"
"3211","Alistair Green Leather Bench","4","seating","62""W x 32""D x 18""H","ALISTAIR_Bench.png"
"3709","Alora Botanical Sculptural Chair","4","seating","33""W x 30.5""D x 30""H","ALORA_Botanical_Chair_0.png"
"44","Amun Brown Leather Butterfly Chair","8","seating","28""W x 27""D x 36""H","AMUN_Chair_0.png"
"3006","Antonella Cotton Velvet Sofa","4","seating","76""W x 38""D x 33""H","ANTONELLA_Loveseat_0.png"
"767","Antonio Black Leather Butterfly Chair","4","seating","28""W x 27""D x 36""H","ANTONIO_Chair_0.png"
"3007","Aramita Cotton Velvet Chair","8","seating","37""W x 38""D x 34""H","ARAMITA_Chair_0.png"
"3822","Artesia Chair","4","seating","28""W x 28""D x 32""H - 20"" Seat Height","ARTESIA_Chair_0.png"
"3190","Auset Linen Banquette","10","seating","56""W x 28.5""D x 32""H","AUSET_Banquette_0.png"
"3027","Avalon Iron + Linen Bench","4","seating","58""w x 18""D x 22""H","AVALON_Bench_0.png"
"754","Ava Sage Velvet Chair","4","seating","26""W x 33""D x 35""H","AVA_Chair_0.png"
"3714","Aviana Botanical Linen Sofa","2","seating","83""W x 39""D x 39""H","AVIANA_Linen_Sofa_0.png"
"161","Axel Bar Stool","20","seating","16""W x 17""D x 45""H","AXEL_Stool_0.png"
"3716","Azalea Botanical Velvet Chair","2","seating","40.5""W x 47""D x 34""H","AZALEA_Velvet_Chair_0.png"
"2884","Bard Deconstructed Leather Chair","2","seating","28""W x 27""D x 38""H","BARD_Chair_0.png"
"3004","Benecio Leather Knit Chair","4","seating","24""W x 26""D x 24""H","BENECIO_Chair_0.png"
"676","Blanc White & Grey Cow Hide Ottoman","2","seating","17""W X 17""D X 17""H","BLANC_Ottoman_0.png"
"2745","Brayan Dining Chair","182","seating","18""W x 22""D x 33""H","BRAYAN_Dining_0.png"
"1770","Brooklyn Plush Charcoal Sofa","4","seating","90""W x 30""D x 35""H","BROOKLYN_Sofa_0.png"
"3713","Calista Fringe Sofa","2","seating","80""W x 37.75""D x 29.25""H","CALISTA_Fringe_Sofa_0.png"
"3827","Cameron Directors Dining Chair","64","seating","24.5""W x 17.25""D x 37.75""H   18"" Seat Height","CAMERON_0.png"
"2749","Carwyn White + Wood Chair","8","seating","32""W x 32""D x 28""H","CARWYN_Chair.png"
"2741","Cicely Wicker + Linen Loveseat","8","seating","60""W x 23""D x 35""H","CICELY_Loveseat.png"
"1789","Claude White Upholstered Chair","4","seating","28.25""W x 29.5""D x 33""H","CLAUDE_Chair_0.png"
"1813","Commodore Canvas Sofa","2","seating","71""W x 30""D x 30""H","COMMODORE_Loveseat_0.png"
"1814","Corwin Canvas Lounge Chair","4","seating","30""W x 30""D x 27""H","CORWIN_Chair_0.png"
"3462","Cosette Sage Velvet Loveseat","4","seating","52""W x 30""D x 36.5""H","COSETTE_Loveseat_0.png"
"2982","Donnelly Navy Leather Wingback Chair","4","seating","30""W x 32""D x 40""H","DONNELLY_Chair_0.png"
"3832","Dune Wood and Tan Boucle Bench","8","seating","64""W x 18""D x 20""H","DUNE_Bench_0.png"
"755","Elizabeth Champagne Velvet Sofa","4","seating","90""W x 28""D x 33""H","ELIZABETH_Sofa_0.png"
"3461","Ellora Sage Velvet Ottoman","2","seating","47.5""W x 47.5""D x 16.5""H","ELLORA_Ottoman_0.png"
"2714","Eloise Antique White French Loveseat","2","seating","72""W x 34""D x 35""H","ELOISE_French_Loveseat_0.png"
"2462","Elspeth Almond Velour Chair","4","seating","27.5""W x 28""D x 27.5""H","ELSPETH_Chair_0.png"
"2717","Erin Antique White French Sofa","2","seating","96""W x 38""D x 35""H","ERIN_French_Sofa.png"
"3014","Evander Grey Hide Tapered Ottoman","2","seating","36""Dia x 18.5""H","EVANDER_Ottoman_0.png"
"3002","Fabian Grey Hide Barrel Chair","8","seating","28""W x 25""D x 27""H","FABIAN_Chair_0.png"
"3012","Farrell Grey Hide Bar Stool","14","seating","18""W x 16.5""D x 30""H","FARRELL_Stool_0.png"
"721","Fawn Natural Cane Chair","4","seating","27""W x 22""D x 36""H","FAWN_Chair_0.png"
"3003","Florian Ivory Hide Barrel Chair","8","seating","28""W x 25""D x 27""H","FLORIAN_Chair_0.png"
"2906","Ford Deconstructed Leather Wingback Chair","4","seating","32""W x 32""D x 45""H","FORD_Chair_0.png"
"3856","Fulton White Leather Butterfly Chair","6","seating","23""W x 29""D x 36""H","FULTON_0.png"
"2002","Geraldine Goat Fur Wood Bench","4","seating","35.5""W x 11.75""D x 17.75""H","GERALDINE_Bench_0.png"
"757","Giles Goat Hide Chair","8","seating","22""W x 31""D x 23""H","JACKSON_Chair_0.png"
"129","Grey Hills Linen Ottoman","4","seating","18""Dia x 18""H","GREY_HILLS_Ottoman_0.png"
"2118","Gwenevere Mulberry Daybed","2","seating","77""W x 38.5""D x 16""H","GWENEVERE_Daybed_0.png"
"2969","Helena Antique Carved Chair","2","seating","25""W x 23""D x 52""H","HELENA.png"
"60","Hemingway Brown Leather Chair","2","seating","27""W x 32""D x 34""H","HEMINGWAY_Chair_0.png"
"1818","Henry Upholstered Grey Sofa","2","seating","98""W x 40.5""D x 30""H","HENRY_Sofa_0.png"
"1711","Hirshfield Leather Chair","4","seating","24""W x 30""D x 26""H","Hirshfield_Leather_Chair.png"
"735","Indiwin Black Leather Sofa","2","seating","91""W x 35""D x 25""H","INDIWIN_Sofa_0.png"
"4180","Ingram Black Leather + Wood Sofa","1","seating","85""W x 31""D x 33""H","INGRAM_Sofa_0.png"
"3719","Jacinda Armless Textile Loveseat","2","seating","64.5""W x 41""D x 27""H","JACINDA_Loveseat_0.png"
"2972","Jennie Antique Linen Chair","2","seating","26""W x 22""D x 38""H","JENNIE.png"
"3835","Jesamay Chair","8","seating","23.5""W x 24""D x 33.75""H - 19"" Seat Height","JESAMAY_Chair_0.png"
"675","Jessie Cow Hide Ottoman","2","seating","16""W x 16""D x 17""H","JESSE_Ottoman_0.png"
"127","Joseph Goat Hide Ottoman","4","seating","17""W x 17""D x 17""H","JOSEPH_Ottoman_0.png"
"2999","Jourdain Natural Bench","4","seating","79""W x 28""D x 20""H","JOURDAIN_Bench_0.png"
"1973","Julien Adjustable Counter Stool","22","seating","16""W x 16""D x 27.5""H","JULIEN_Stool_0.png"
"4161","Lagos Swivel Chair","8","seating","26""W x 31.5""D x 31""H","LAGOS_0.png"
"3142","Leanna Ivory Hide Tapered Ottoman","2","seating","36""Dia x 18.5""H","LEANNA_Ivory_Ottoman.png"
"1820","Lindt Toffee Velvet Channel Tufted Sofa","2","seating","91""W x 38""D x 31""H","LINDT_Sofa_0.png"
"3015","Lorenzo Ivory Round Hide Ottoman","2","seating","42""Dia x x19""H","LORENZO_Ottoman.png"
"4130","Luna Arcing Dining Chair - Harvest Velvet","425","seating","22""W x 21""D x 32""H","LUNA_Harvest_Velvet_0.png"
"4122","Luna Arcing Dining Chair - Taupe Velvet","425","seating","22""W x 21""D x 32""H","LUNA_Taupe_Velvet_0.png"
"1799","Mara Hunter Leather Chair","8","seating","18""W x 20""D x 33.5""H","MARA_Chair_0.png"
"672","Marshall Mango Wood Chair","6","seating","20""W x 20""D x 32""H","MARSHALL_Chair_0.png"
"2971","Millicent Antique Arm Chair","4","seating","25""W x 19""D x 41""H","MARTHA.png"
"2025","Morrison Charcoal Ottoman","3","seating","28""W x 26""D x 16""H","MORRISON_Ottoman_0.png"
"2995","Natori Oak + Fur Chair","3","seating","24.5""W x 29.""D x 32""H","NATORI_Chair_0.png"
"3017","Nazara Grey Hide Ottoman","2","seating","15""Dia x 19""H","NAZARA_Stool_0.png"
"3016","Neriya Ivory Hide Ottoman","2","seating","15""Dia x 19""H","NERIYA_Ivory_Stool.png"
"3967","Nima Fabric Banquette - Double","6","seating","120""W x 20""W Seat, 28""W With Back X 44""H Back",""
"3973","Nima Fabric Banquette - Double w/ Walnut Backboard","6","seating","TBD""W x 20""W Seat, 28""W With Back X TBD Walnut Backboard",""
"3966","Nima Fabric Banquette - Single","12","seating","83""W x 20""D Seat (28""D With Back ) X 44""H Back (No Wood Backer)","NIMA_Banquette_1.png"
"3972","Nima Fabric Banquette - Single w/ Walnut Wood Backboard","12","seating","83""W x 20""W Seat, 28""W With Back X TBD Walnut Back Height",""
"2786","Noelle Black Cane Chair","8","seating","24""W x 24""D x 33""H","NOELLE_Chair_0.png"
"435","Nomad Wood Chair","9","seating","20""W x 30""D x ?""H","NOMAD_Chair_0.png"
"749","Omar Brown Leather Ottoman","3","seating","21""Dia x 12""H","OMAR_Ottoman_0.png"
"3817","Osprey Black Metal Chair","4","seating","33.75""W x 30""D x 35.25""H","OSPREY_0_Original_Cushion.png"
"34","Phillipe Grey Silk Loveseat","2","seating","51""W x 26""D x 37""H","PHILLIPE_Loveseat_0.png"
"74","Pierre Grey Silk Chair","4","seating","30""W x 26""D x 37""H","PHILLIPE_Chair_0.png"
"76","Poe Deconstructed Leather Chair","3","seating","24""W x 28""D x 34""H","POE_Chair_0.png"
